,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
2005,604369965,42136351,46417,12476923,21063054,180296084,158750451,37049409,20020456,63738176,67773670,343749,533580,141645
2006,592635237,42768071,43777,11453829,18204620,180247851,158023212,34479065,19665130,65104634,61597581,359031,543727,144709
2007,616760189,41583313,44732,12574042,16946435,191962098,158214438,34402502,20574449,67549800,71829977,354694,574828,148881
2008,618047146,43214504,147431,12215691,14278669,193683449,163842480,35523621,21766546,66086715,66072066,372615,661160,182199
2009,595537304,38168660,354648,11690433,13117457,196507976,147322739,34185326,20768422,67138321,65056651,401888,662858,161925
2010,588016955,41742835,461401,11968887,11188145,184428810,150701134,33786564,20408414,67903266,64223737,405482,636355,161925
2011,618550162,41604016,492485,11614048,11805494,196056012,153908697,35140028,21121678,76381325,69257261,425336,645474,98308
2012,617088777,43702506,482132,11106058,10292539,198918228,153347852,33203585,21272278,69883099,73584442,455004,742747,98307
2013,635205955,43077139,507185,10769755,15077742,205237192,159465646,36346695,23293629,72263220,67851100,448558,769787,98307
2014,629581402,41053968,619536,10640910,15944861,199880277,157112627,35577154,23195775,77180229,67007862,433686,776919,157598
2015,640327058,41753204,615932,10220036,13939741,202473624,157911621,35946801,23419687,80930967,71770508,447879,739643,157415
2016,646602806,41848299,603547,9874593,15224780,209314327,157161469,37714253,24731036,78974230,69778954,446998,742525,187795
2017,649482181,38904530,615163,10075687,13469474,214013955,153159687,37076089,25374371,80855206,74586488,484818,676884,189829
2018,641089231,43657484,648300,10505227,13681851,212977298,156242229,31714813,24135457,76397478,69780598,477850,676280,194366
2019,635344056,42694298,652368,9994333,13484781,212957997,155306112,33938395,24157927,75977038,64782189,467636,738760,192222
2020,636564157,40211797,662542,9544474,12308975,208485031,155423147,37253694,24370710,75946217,70947057,532078,683973,194462
2021,631274516,41530949,606424,9295128,12372233,214453070,149464884,29099609,24811262,75537053,72622313,571511,715290,194790
2022,643169230,41580385,533918,9040669,12550549,215552415,154688874,37846980,24488031,74802043,70610274,570817,713741,190534
2023,618273136,44291864,504764,8957963,13885984,195506428,156374152,33373581,24869471,82969172,56102925,559643,683093,194096
