,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
2005,19676695,..,..,69297,56504,3271915,8902878,244347,426913,451727,6253114,..,..,..
2006,23623767,..,..,24588,510833,2534149,6103501,828572,1147079,209326,12265719,..,..,..
2007,19380104,..,..,62917,641755,3355838,7070359,534285,203343,222902,7288705,..,..,..
2008,23864071,..,..,272688,837557,1358479,8122971,87878,431648,761348,11991502,..,..,..
2009,18163423,..,..,323243,1084921,1056808,3026284,203264,334308,661966,11472629,..,..,..
2010,18686212,..,..,211331,843778,2501821,3654893,295958,413910,463986,10300535,..,..,..
2011,14961599,..,..,145758,584491,443412,1775319,137353,321177,990939,10563150,..,..,..
2012,10887220,..,..,10212,591590,83420,655138,519343,115439,851807,8060271,..,..,..
2013,11370751,..,..,413,593827,539363,605398,312147,335082,382209,8602312,..,..,..
2014,12120716,..,..,0,499324,540787,530031,510103,232673,56083,9751715,..,..,..
2015,10770966,..,..,0,627343,33461,1349518,110447,93260,295700,8261237,..,..,..
2016,9302534,0,..,10091,122891,64408,454924,66821,19791,301026,8262582,..,..,..
2017,9893296,0,..,0,201897,125074,205821,161419,35094,571039,8592952,..,..,..
2018,13194693,52,..,13044,176141,180567,269729,740342,117703,1607231,10089884,..,..,..
2019,13334136,1131,..,55832,114650,115378,167613,446647,59813,1175642,11197430,..,..,..
2020,9811685,4110,..,149184,70384,1826,561360,188259,4626,1752517,7079419,..,..,..
2021,13013716,14704,..,138237,131246,6492,521732,3072795,17028,1583930,7527552,..,..,..
2022,14116211,0,..,394680,164701,742280,629663,1670925,47944,1654364,8811654,..,..,..
2023,20826545,0,..,286328,65707,1272682,381303,1089970,13321,916717,16800517,..,..,..
